text,sentiment
777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown,airlinetweets/negative
ANOTHER F*CKING DELAY IN THE PAST 32 HOURS!?,airlinetweets/negative
I work in customer support- extremely saddened United won't waive change fee for flights I had to Cancelled Flight due to east coast storms.,airlinetweets/negative
anyone awake? Paying for wifi on iPhone when need to be using it on laptop. Logout option for wifi in flight? Time is wasting!,airlinetweets/negative
I see you tweeting as little as 7 min ago. Are you just ignoring my CS request? #CantLogOutOfUnitedWifi,airlinetweets/negative
Bos-SF was in between waivers. Business Cancelled Flighted due to weather before/after. No flexibility/compassion in extreme circumstances = 😔,airlinetweets/negative
needs to pay for my car. I could have been on my flight if 4 help desks did not say it already left. Shame.,airlinetweets/negative
question - was given food vouchers but can't use on plane..how come,airlinetweets/negative
how does that help me with my customers that I couldn't meet with (and subsequently lost)?,airlinetweets/negative
I'm not as sure as you are. http://t.co/HSMpbSF4UF,airlinetweets/negative
thats because you didnt read my entire tweet. Wife's 12pm flight is now delayed to 6:30. Thats 3 6+ hour flight delays in 2 weeks,airlinetweets/negative
1k use to be special. 80 people in group one. Why not board global AND 1k together? http://t.co/qd2lyUXAZg,airlinetweets/negative
I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,airlinetweets/negative
I spoke with a representative that offered no solution,airlinetweets/negative
Rude grouchy agent at Dulles check-in just got my 19 hour trip off to a lousy start. He needs a nap or something.,airlinetweets/negative
"""""We like hearing from you."""" So why haven't you replied to my tweet and/or email yet? https://t.co/caf2cx3gfi",airlinetweets/negative
seriously? After waiting 2 hours on the plane for my 10:20 flight to leave at 3pm I have to leave the plane? Great. Just great.,airlinetweets/negative
still waiting 4 our bags. Web STILL can't tell me its location . How come can tell u at any given minute where it is?,airlinetweets/negative
not really the experience I was hoping 4,airlinetweets/negative
so the 4-6hrs that you told me was what? A guess?? They've apparently had the bag 20hrs now and no call.,airlinetweets/negative
that's what I tried to do,airlinetweets/negative
installed and working are not the same. Kicked me out after an hour and wouldn't let me back in. Four wasted hours.,airlinetweets/negative
Club DEN,airlinetweets/negative
I have and been denied! I called and got hung up on. Did speaks with manager on second call,airlinetweets/negative
You guys are atrocious. Far better service as silver on Delta than you as a platinum. I'll be switching back to delta.,airlinetweets/negative
keeps delaying my flight,airlinetweets/negative
I just want to contact someone with a question &amp; not be put on hold for 5 minutes in order to be hung up on or sent to the pet line,airlinetweets/negative
worst airline ever after 70+ legs of travel I am officially done. On time is not in their vocab. I'm taking my premier status to A,airlinetweets/negative
we'd prefer everyone hear our complaints amount your airline,airlinetweets/negative
worst airline in the world-8 delays,airlinetweets/negative
smiling? NOT!!,airlinetweets/negative
care less about the person - although he walked away while I was complaining. A man at 10p at LAX club. More.....,airlinetweets/negative
More concerned that you close a club I paid alot for at 10. Last flight 11:15p. The construction going on is very inconvenient.,airlinetweets/negative
your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!,airlinetweets/negative
just delayed my flight to SLC by 2.5 hours. What gives? #snowforce,airlinetweets/negative
On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?,airlinetweets/negative
you had us REBOARD without the captain. So now we'll be sitting in here for another 20+ min? http://t.co/EEReKDf9Fq,airlinetweets/negative
tried to and got through the whole 2,airlinetweets/negative
I am a comedian and I promise I will make fun of you on stage tonight.,airlinetweets/negative
service staff to is less than friendly!,airlinetweets/negative
are you telling me that you are now Cancelled Flighting my flight ??,airlinetweets/negative
can you you think about hiring some baggage attendants at EWR? Been waiting for bags for 1 hr. United = overcharged&amp;underserved,airlinetweets/negative
Your survey is too long. I fly a lot of segments and I'll fill it out after every trip,airlinetweets/negative
can you maybe have more than 1 person working customer service desk in Houston airport? Line 3 rows deep 1 person working,airlinetweets/negative
not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place,airlinetweets/negative
my fingers are crossed that they are more capable of getting baggage from point A-&gt;B than United Airlines!,airlinetweets/negative
ouch,airlinetweets/negative
Your boarding process sucks. You should learn from,airlinetweets/negative
flight was too heavy so had to fly BACK to Palm Springs (after being in the air for 30 mins),airlinetweets/negative
wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated,airlinetweets/negative
line is just getting longer and moving slower. Lady working the counter is doing great,airlinetweets/negative
still sitting here waiting for a plane....4 hours wasted,airlinetweets/negative
yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail,airlinetweets/negative
And there is no direct phone number for status match desk? I really regret Flight Booking Problems with now.,airlinetweets/negative
thanks for trying to take my money without notice. In any other industry,airlinetweets/negative
"How is this considered """"on time"""" if it's arriving at destination half hour Late Flightr than scheduled? http://t.co/YMFTw1uyHr",airlinetweets/negative
make sure you make Cancelled Flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few $ more,airlinetweets/negative
look at the Twitter history - as usual service non existent,airlinetweets/negative
now sitting on the tarmac for a half hour after landing because your jetway is broken. #2daysofunitedfailures #1thingafteranother,airlinetweets/negative
how can you never got a flight from austin to Houston in time for a connection ever? Ever!,airlinetweets/negative
40+ minutes waiting at the gate for the broken jetway. Different gate maybe?,airlinetweets/negative
I am now following you and see that I am not the only one experiencing and noticing a substantial downgrade in service post merger,airlinetweets/negative
Lost my wallet on flight 1007 yesterday from Houston to Bogota. Filled out your online form. No response yet.,airlinetweets/negative
50 minute wait...still at the gate with a broken jetway. Might miss connection,airlinetweets/negative
I'm confused. After your agents directed us to go to your website after DELAYS nothing works! http://t.co/cypRHe5GOK,airlinetweets/negative
worst airline ever! Staff is nasty,airlinetweets/negative
Am I illiterate or is there a magic code to make your customer service site work? http://t.co/t4gcKs2bh5,airlinetweets/negative
thanks for the 2hr delay and then no ground crew when we landed. At least you didn't break my http://t.co/GCWVFuopl2,airlinetweets/negative
silence is very telling,airlinetweets/negative
over an hour stuck and still not off the plane. Total failure by you and your partners in ensuring the best customer experience.,airlinetweets/negative
should contact me and the others on my flight who can't get their website to work. None of our info is valid! http://t.co/3zpJr7kWbk,airlinetweets/negative
Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,airlinetweets/negative
flight 4841...3 gate changes on top of this. Really hoping you can compensate with some points/mileage to my account!,airlinetweets/negative
- blamed weather lol 78 no wind and not a cloud in the sky!! Delayed both ways 4x!! RU kidding me to charge me for 1.5lb w/8 delays?,airlinetweets/negative
b/c of your delay now you are oversold by 14 passengers?!??? This is a mess! What are you going to do to compensate?,airlinetweets/negative
Never can get a flight out on time. 4 hour delay earlier another hour delay on my connecting flight. Makes 10 straight delays,airlinetweets/negative
just changed again. This is crazy! #YourAgentsHaveNoClue http://t.co/A37N3oHOKL,airlinetweets/negative
WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!,airlinetweets/negative
Doumented via link. However,airlinetweets/negative
this is nuts they said a flight was on the ground now it's still in Albany and they won't have a plane. Someone is compensating me,airlinetweets/negative
3 Gate changes in 30 minutes for flight to Roanoke and flight to sous falls in O'hare... Painful,airlinetweets/negative
Cancelled Flighted my mileage plus award reservation G6455C same day. Have yet to see my miles back despite agent confirmation.,airlinetweets/negative
another #DELAYED day. #Delayed outbound. #delayed inbound and now waiting at EWR for a gate to be ready. how is it not ready!??,airlinetweets/negative
I'd rather have the truth about my flight than be forced to sit here all day. Trying to get home to this. http://t.co/U69fAfqhsF,airlinetweets/negative
too big to properly manage flight times. There is such a thing as being on time. Or at least prepared with a gate when we land!,airlinetweets/negative
booked flight in sept to get best price for April to usa,airlinetweets/negative
stop picking on us #CLE http://t.co/VTqE8m1L3i,airlinetweets/negative
5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X,airlinetweets/negative
"playing hide and seek with the gate. """"We can't find it",airlinetweets/negative
I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,airlinetweets/negative
you know it's bad when you're praying your connecting flight is delayed because of an hour delay on the first flight #JustGetMeHome,airlinetweets/negative
I'm in Denver,airlinetweets/negative
WORST SERVICE EVER. Denied access to our flight and then moved flight 6 times. How hard is it to schedule a gate? next time.,airlinetweets/negative
ORD Gate C25 and Flt 619- remember when customers were valuable? Is it so hard to be nice to someone lugging a guitar &amp; carryons ?,airlinetweets/negative
waiting on plane so long missed my connecting flight it left early. That's the last flight out tonight. HELP http://t.co/hBsJ2sF17h,airlinetweets/negative
4840 WTF! Why can't you update your times in a timely manner? You've known the fight was more delayed! Ur service is awful!,airlinetweets/negative
thanks KP. What's going on w/4840 tonight. Bad update online and phone. Can't u give customers good info. Not waste their time?!,airlinetweets/negative
can you help 689 in Chicago get to a gate. Freezing on a runway seems like a crappy thing to do at 9pm,airlinetweets/negative
How do you have a scheduled flight WITH NO CREW? Is there a competent person working at this airline?,airlinetweets/negative
broke my suitcase &amp; refuses to give me a repair estimate. http://t.co/zOUOwgv3Q6,airlinetweets/negative
after waiting for over an hour we finally board the airplane only to find out we have to call maintenance. And this plane is cold.😡,airlinetweets/negative
enough already with the poor service,airlinetweets/negative
I was rebooked,airlinetweets/negative
landed at 9:40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here#tiredcustomer,airlinetweets/negative
my luggage is gone. I've filed my paperwork,airlinetweets/negative
recent services have been very bad. My NC trip was aweful. Very disappointed and never again.,airlinetweets/negative
stuck on Tarmac for the last hour. Can I have a beer?,airlinetweets/negative
. board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.,airlinetweets/negative
I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞,airlinetweets/negative
they did on a delta flight out of LAX which is why I should be compensated for my rental car there.,airlinetweets/negative
fantastic night of waiting 3 hours for a delayed airplane,airlinetweets/negative
very missed daughter suppose to dpt ORD :59pm - dpted 8:30pm -checked week's average for UA3645 -shameful! 7 day average 7:54pm,airlinetweets/negative
not once did #US3645 leave #ORD on time this week #shameful,airlinetweets/negative
is freaking worthless. I hate this airline. http://t.co/dN1if2cGwE,airlinetweets/negative
I did they did not. I did submit a complaint on line and never heard back from that - I don't have that ID- you should find it,airlinetweets/negative
I'm over you. Evry 1st flight I take w/ you is delayed &amp; evry 2nd is on time so its missed evry time. #lastflightofthenight #breakup,airlinetweets/negative
Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,airlinetweets/negative
Cancelled Flightled my flight for some unknown reason and haven't really given me anything to make my overnight layover tolerable,airlinetweets/negative
thanks for ruining my wedding anniversary. Flight UA4904 from EWR to RDU is delayed by over 3 hours and will reach home the nxt day,airlinetweets/negative
it wasn't a delay so much as a straight Cancelled Flightlation. Weather wasn't an issue either.,airlinetweets/negative
(1/2) thanks,airlinetweets/negative
just curious,airlinetweets/negative
I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2,airlinetweets/negative
here is my case id 8473573. Requested on 2/5,airlinetweets/negative
hey,airlinetweets/negative
WTF!?!? Delay after delay. 15 hours YVR to SAN? Unacceptable. Flight Crew Availability is to blame? NEVER AGAIN with,airlinetweets/negative
I would appreciate an answer on why we weren't alerted flight had been Cancelled Flighted until plane landed. #showsomerespect,airlinetweets/negative
. being delayed 3 hours for a one hour flight is more than frustrating. I'm also unable to get a decent meal at this hour.Never again,airlinetweets/negative
a rapid trip plane ticket from Idaho to California that doesn't have problems would be wonderful,airlinetweets/negative
well. As of yet,airlinetweets/negative
After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?,airlinetweets/negative
Really? 9+hours???? : We don't like delays and do all we can to avoid them. We'll have you on your way ASAP,airlinetweets/negative
I am so happy I found my phone because this is easily the worst system I have ever heard of,airlinetweets/negative
Flt 359 lax to EWR. Your pilot bragged about getting to EWR early only to wait 20 min for a jetway driver. Thanks United!,airlinetweets/negative
U kept passengers waiting all night 4 a plane that was being put out of service. Leaving everyone stranded for night. #inexcusable,airlinetweets/negative
WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,airlinetweets/negative
your staff at LaGuardia and Lagos,airlinetweets/negative
Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW,airlinetweets/negative
"There were plenty of empty seats in coach """": Your dissatisfaction is understood. Crew members traveling for duty are pre-booked on f",airlinetweets/negative
we all watched as the crew was escorted from the back to 1st class. Prebooked? Really? : Your dissatisfaction is und,airlinetweets/negative
agent Rick Clifton in SEA-HOU,airlinetweets/negative
has happened on other airlines and they've given out flight vouchers and been more transparent about the problems.,airlinetweets/negative
still awaiting a reply from ur customer services? 18 days,airlinetweets/negative
#onlyinAmerica. 18 days and not a word from #unitedairlines #customerservices. Bad PR guys.,airlinetweets/negative
it's a shame the great customer service wasn't continued in SFO. Slightly absurd,airlinetweets/negative
Another unfortunate case of bad luck,airlinetweets/negative
"""""the extra care airline"""". #unitedairlines they don't care. Trust me. There #customerservice is non existent. They don't have 1",airlinetweets/negative
accordingly? U dont respond at all,airlinetweets/negative
its in black and white. EU law and all that €600 for a Cancelled Flightled flight. I want my money,airlinetweets/negative
has the worst flight attendants. They are like those angry and drunk aunts that we all have. Everything has to be an argument.,airlinetweets/negative
1hr delay at the start,airlinetweets/negative
they have access to the dial that makes it faster do they?,airlinetweets/negative
it seems like no one from United can help me. Lots of fingers pointed,airlinetweets/negative
to top it all off,airlinetweets/negative
So disappointed in the service and the level of staff communication. Such a bummer.,airlinetweets/negative
then send your Jeff Smisek on a trip with JetBlue or SW and make sure he takes notes. I would never choose to fly United again.,airlinetweets/negative
Why don't you respond to my e-mails of facebook msg?! I'm still wating for my tickets!! I'm getting really angry and disappointed!,airlinetweets/negative
2.5 hour delay,airlinetweets/negative
usually your lounge staff are fantastic! Except today in MCO where almost denied entry to lounge even though traveling united-first,airlinetweets/negative
what is going on with baggage claim in Newark!#tiredandwanttogohome,airlinetweets/negative
your airline is the biggest joke of an operation in the world.,airlinetweets/negative
oh united,airlinetweets/negative
#flightdelay on an early craft arrival because pilot is stuck in traffic #fail #nocustomerservice #nocompensation,airlinetweets/negative
why is it so impossible to actually get a passenger AND their luggage to their final destination?,airlinetweets/negative
I'm counting on you,airlinetweets/negative
I had the worst customer experience at Houston intl airport... Your ground support even for members is a nightmare,airlinetweets/negative
Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!,airlinetweets/negative
unacceptable practice to leave Cancelled Flighted flight passengers to sleep on cement with no pillows #UA1724 http://t.co/nDTLJ15ZpU,airlinetweets/negative
disappointed to learn you are now charging $200 to use 20k miles for upgrades on PS JFK flights. Will be looking at alternatives.,airlinetweets/negative
don't know if you are aware that ALL of your premier access lines are closed in your terminal. I feel the love.,airlinetweets/negative
Too Late Flight,airlinetweets/negative
is the worst major US airline. More proof: they're boarding the plane with the outside galley door open in 0 degree weather. Wtf?,airlinetweets/negative
no chance in hell. I'd rather walk. Worst airline ever.,airlinetweets/negative
can't check in,airlinetweets/negative
worst airline ever. Thanks for the slew of rude agents and staff making my delayed flights even worse.,airlinetweets/negative
"flight 4465 almost half an hour at the Tarmac """"waiting for papers""""... Cannot miss my connection at IAH !",airlinetweets/negative
I really have a hard time believing that 4 planes in this terminal are all delayed for mechanical issues. #whatgives #dullessucks,airlinetweets/negative
"gates were DEFINITELY NOT FULL. We were parked and wheels were chocked. Customer service called it an """"UNMET ARRIVAL""""!!",airlinetweets/negative
the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,airlinetweets/negative
I need assistance with pulling your agents' heads out of their asses,airlinetweets/negative
instead of making seats smaller/thinner so u can jam more people on a flight,airlinetweets/negative
My guess:flight is going to be Cancelled Flightled because there are 16 empty seats and those who confirmed are not important. #frustrated,airlinetweets/negative
education of that staff is needed - he also turned away other first class cabin passengers with mileage plus.,airlinetweets/negative
"flight from vegas to houston Cancelled Flighted this morning """"due to operation"""" what does this mean!???? Thank god I woke up early today!",airlinetweets/negative
what's the point of offering a free checked bag of you lose it?,airlinetweets/negative
screwing me over twice in one month. Learned my lesson. We are through.,airlinetweets/negative
or you'll Cancelled Flight my flight like you just did,airlinetweets/negative
I'm sure you will offer me nothing for the inconvenience you have put me through TWICE this month. Tweets don't cut it,airlinetweets/negative
so funny that my boarding pass said PRIORITY a because clearly I am not a priority to this airline,airlinetweets/negative
. thanks for the reply. I saw that but it's not particularly helpful to a hungry vegetarian not flying those specific flights. SHRUG.,airlinetweets/negative
Is flight 5001 really going to leave Newark today? If not tell us now and I will rent a car. I do not want to end up stranded.,airlinetweets/negative
Looks like a broken link for your assets https://t.co/OArDjjGrrD,airlinetweets/negative
2nd time in a row I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,airlinetweets/negative
WTH be honest with your customers. This better be the last change or we are driving home. Has our plane left or not!,airlinetweets/negative
Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.,airlinetweets/negative
#4781 Cancelled Flightled. #5102newflight I will be upset if this one Cancelled Flights too. I could have rented a car if they would have been honest.,airlinetweets/negative
I did and then she made me feel guilty because it was economy plus and I didn't pay for the extra leg room,airlinetweets/negative
no because you will charge me or delay me further. United 1612 still waiting.,airlinetweets/negative
haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather,airlinetweets/negative
is the worst http://t.co/27aitZl6nd,airlinetweets/negative
no wifi on flight ua688. SF to ORD. Really? Wow,airlinetweets/negative
no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail,airlinetweets/negative
couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed,airlinetweets/negative
https://t.co/jpd7NsGRT7. Fyi your staff are telling customers to try other carriers,airlinetweets/negative
- are you aware your airbus fleet sucks? I'd rather fly a C-130 full of rubber dog shit.,airlinetweets/negative
is a money sucking airline with terrible terrible customer service,airlinetweets/negative
new flight has me at the window. Kind of ticked off. I pick aisle seats only because I hate window seats. #annoyed #EpicFail,airlinetweets/negative
thanks for delaying our flight for an hour,airlinetweets/negative
that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed,airlinetweets/negative
yea,airlinetweets/negative
"define """"appreciate"""". I doubt the worst major airline in the USA acts on much feedback.",airlinetweets/negative
please send help ASAP to on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O,airlinetweets/negative
your customer service is terrible,airlinetweets/negative
now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app: http://t.co/FY6f9rZB9k,airlinetweets/negative
: Worse - headed to LaGuardia (delayed). Why is the tray table the size of a mouse pad and the overhead the size on my pocket?,airlinetweets/negative
Delayed CMH to ORD. Ran to gate 1 min b4 connection -door closed no one around. Ignored by 1st agent,airlinetweets/negative
that link is not helpful as it does not put me In touch with management,airlinetweets/negative
crew has been notified,airlinetweets/negative
I will be calling customer service. 2 delayed flights today now,airlinetweets/negative
wind chill in Ithica -17 degrees,airlinetweets/negative
yes,airlinetweets/negative
lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day,airlinetweets/negative
not anymore. Finally was ticketed 5 min before takeoff. Not sure why the confusion with a full-fare GSA ticket.,airlinetweets/negative
FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,airlinetweets/negative
deserves to go bankrupt. Just delayed an outbound flight with no info on the connecting flight that we're going to miss,airlinetweets/negative
customer service has no solution and now we might miss a show because of them,airlinetweets/negative
I hope you have a solution or insurance to cover this issue,airlinetweets/negative
- please help regarding PNR A3ZZ0F. Why am I now waitlisted for a flight?,airlinetweets/negative
made to check in my carry on from Flight 1449 PBI to Newark. Plane luggage stow not full. U r costing me time,airlinetweets/negative
or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,airlinetweets/negative
yes to three different checkers along the walk to the plane. Overkill,airlinetweets/negative
Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever!,airlinetweets/negative
I was not looking for the fare to be returned on the companion flight. don't understand why an additional $200 fee was necessary.,airlinetweets/negative
"will flight 5559 to YYC be providing free food when we are allowed back on board after the """"broken lightbulb",airlinetweets/negative
United Club team is A+ &amp; got me a seat Late Flightr. Still,airlinetweets/negative
I'm rebooked. Getting home 4 hours Late Flightr then planned. What are the chances I'll ever see my bag again? #unhappytraveler,airlinetweets/negative
uh - I booked it through the UA website. Why the price change?,airlinetweets/negative
delayed going home AGAIN. Getting really tired of delays.,airlinetweets/negative
DM sent. This lack if customer service is getting ridiculous.,airlinetweets/negative
Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,airlinetweets/negative
I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.,airlinetweets/negative
I have those notifications yet the staff on board say that is not accurate and they have no departure time.,airlinetweets/negative
obviously no one knows a darn thing around here. What are we to do if this does not get resolved? http://t.co/Ph8QJzaPKx,airlinetweets/negative
that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,airlinetweets/negative
nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?,airlinetweets/negative
flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.,airlinetweets/negative
Once again I am victim to the scam that is your SHIT Customer Service,airlinetweets/negative
my wife Sarah stocker did also called but could not connect me to customer service,airlinetweets/negative
boarded 6373 on time,airlinetweets/negative
this is very disappointing. This is about customer service.,airlinetweets/negative
I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,airlinetweets/negative
Did somebody say flight upgrade?,airlinetweets/negative
that's the reply? Lol hoping that at least the new plane was maintained before the flight. 😒,airlinetweets/negative
airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via,airlinetweets/negative
the new seats on the Canadaair regional jets just plain suck.,airlinetweets/negative
your website is a complete joke when using safari!,airlinetweets/negative
Flight 395. Rolling delay of 1 hour 42 minutes,airlinetweets/negative
You just tried to charge $750 for a $539 flight when I tried to make a change over the phone,airlinetweets/negative
cleaning a regional jet takes an hour?,airlinetweets/negative
I get that. But doing it by giving inaccurate/misleading info doesn't seem like a great way to do it. #hopethegearmakesitintact,airlinetweets/negative
I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler,airlinetweets/negative
why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,airlinetweets/negative
Funny story,airlinetweets/negative
3 times my flight has been delayed and I miss my next flight. This time you've lost my baggage. No clean clothes. $337 flight. Thx!,airlinetweets/negative
I log in,airlinetweets/negative
Flight is awful only one lavatory functioning,airlinetweets/negative
what I don't understand isn't flight that I paid premium for getting Cancelled Flighted and the best you can do is next available flight...,airlinetweets/negative
I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather,airlinetweets/negative
after several trials and several hours of waiting on phone to contact customer care to get my refund all I get is cold shoulder,airlinetweets/negative
contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?,airlinetweets/negative
splitting up my flights quadruples the price,airlinetweets/negative
soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),airlinetweets/negative
husband and I ordered three drinks via my screen and they never came. Awesome!,airlinetweets/negative
the refund team is far from customer care courtesy they need training on work ethics. So it's like sir u r lying how can I help,airlinetweets/negative
hey! DM not working. UA 307!,airlinetweets/negative
why would a person take hours and hours of wait time just to tell a lie,airlinetweets/negative
I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,airlinetweets/negative
worst flight experience I've ever had. Will never ever fly your airline again.,airlinetweets/negative
Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.,airlinetweets/negative
Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.,airlinetweets/negative
Why is United voted every year as one of the worst airlines? Do enjoy that title? You should give Jedediah free passes,airlinetweets/negative
refreshes my browser right before checkout.error load message. Ticket price increased $358 in a matter of sec. DoUNotWantMyBusiness?,airlinetweets/negative
No. SATO rebooked me. Just upset that my travel office had to fix this,airlinetweets/negative
your customer service is crap.,airlinetweets/negative
MIA-EWR #384 😄😄😄 excellent crew. EWR-IAD #3589 😡😡😡 No crew to load bags - waiting w/ door open freezing. 20 mins past departure.,airlinetweets/negative
If a business decision is made that inconveniences and possibly causes lost customers,airlinetweets/negative
Another terrible experience with United. Discrimination. Delays. And no help from customer service #united #notimpressed,airlinetweets/negative
. I appreciate you looking. Can you compensate me on anything for my troubles? Still haven't taken off for a 10:30 am flight,airlinetweets/negative
yes it is partly used,airlinetweets/negative
I requested an online refund option they denied saying the ticket was used,airlinetweets/negative
I can't even look at you right now. I'll call you when I'm not so mad.,airlinetweets/negative
thanks for delaying my flight for an hour,airlinetweets/negative
I have never been so grossed out in my life. What a disappointment-yet again-flying with you.,airlinetweets/negative
already contacted Central Baggage &amp; sent DM. is charging me for the dress that was in the lost suitcase #help,airlinetweets/negative
Thank U for the 1hr delay then boarding us onto a plane that reeks of vomit,airlinetweets/negative
with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,airlinetweets/negative
its my one and only checked bag,airlinetweets/negative
this is besides the fact that one week ago you delayed me by 18 hours. i am not impressed at all.,airlinetweets/negative
